loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,dti
9500, 36 months,7.97,A,A5,8 years,MORTGAGE,90000.0,Oct-2017,Current,home_improvement,14.03
14000, 60 months,11.99,C,C1,10+ years,MORTGAGE,79000.0,Mar-2016,Current,debt_consolidation,21.46
11200, 36 months,10.91,B,B4,3 years,RENT,40000.0,Sep-2017,Current,credit_card,14.52
20000, 60 months,17.77,D,D1,6 years,MORTGAGE,54000.0,Jan-2013,Charged Off,debt_consolidation,24.69
7500, 36 months,6.11,A,A1,< 1 year,RENT,35000.0,Sep-2018,Current,debt_consolidation,24.35
9800, 36 months,13.99,C,C3,3 years,OWN,50000.0,May-2017,Fully Paid,debt_consolidation,19.13
5000, 36 months,11.47,B,B5,,RENT,23500.0,May-2016,Current,medical,22.57
1000, 36 months,7.99,A,A4,1 year,MORTGAGE,80000.0,Jul-2016,Current,debt_consolidation,13.25
6400, 36 months,10.91,B,B4,3 years,MORTGAGE,58000.0,Aug-2017,Current,medical,2.09
9600, 36 months,16.29,D,D1,< 1 year,RENT,55000.0,Feb-2016,Fully Paid,debt_consolidation,36.29
18000, 60 months,7.84,A,A4,2 years,RENT,40000.0,Oct-2018,Current,debt_consolidation,4.71
16000, 36 months,13.35,C,C2,2 years,RENT,60000.0,Sep-2014,Fully Paid,credit_card,15.17
30000, 36 months,11.47,B,B5,10+ years,RENT,80000.0,Mar-2016,Current,debt_consolidation,13.56
8350, 36 months,13.49,C,C2,,RENT,44000.0,Jun-2016,Fully Paid,credit_card,10.5
32000, 36 months,20.99,E,E5,10+ years,MORTGAGE,64000.0,Jun-2015,Charged Off,medical,26.17
20000, 60 months,24.08,F,F2,10+ years,MORTGAGE,58500.0,Jul-2013,Fully Paid,debt_consolidation,12.98
13000, 36 months,15.49,C,C4,10+ years,MORTGAGE,140000.0,May-2018,Current,home_improvement,27.59
32000, 60 months,16.02,C,C5,2 years,OWN,80000.0,Aug-2017,Fully Paid,debt_consolidation,13.25
35000, 36 months,7.39,A,A4,10+ years,RENT,91000.0,Feb-2016,Fully Paid,credit_card,11.22
12000, 60 months,14.65,C,C5,4 years,MORTGAGE,45783.0,May-2015,Fully Paid,credit_card,15.23
12800, 60 months,12.74,C,C1,2 years,MORTGAGE,59500.0,May-2017,Current,credit_card,26.58
3600, 36 months,7.46,A,A4,7 years,OWN,27000.0,May-2018,Current,debt_consolidation,13.6
35000, 36 months,12.62,C,C1,10+ years,MORTGAGE,274000.0,May-2017,Current,debt_consolidation,18.03
7000, 36 months,12.99,C,C2,7 years,RENT,34000.0,Mar-2016,Fully Paid,credit_card,20.23
10000, 60 months,20.89,D,D4,8 years,MORTGAGE,65000.0,Jul-2018,Current,debt_consolidation,37.65
