feature,importance_mean,importance_std
sub_grade,0.09860643661091135,0.009457688489688686
term_months,0.01334388189776461,0.001736555346224379
mort_acc,0.005197670783179631,0.0013505364001454002
home_ownership,0.004451784039393491,0.0013541535660237013
dti,0.0034817199468500704,0.001062413451339964
annual_income,0.0027349148038142922,0.0012835904808970796
loan_amount,0.002489418868219506,0.00044159081021909327
employment_length,0.0024199624824136623,0.0006204389903748306
inq_last_6mths,0.002103466468657189,0.0006057148771393393
delinq_2yrs,0.0017015300140691193,0.00048300641385561554
verification_status,0.0009379298890105026,0.0005555279200623474
purpose,0.0007589201969673387,0.0008050654729995894
open_acc,0.00045461739878072116,0.0003155450125532387
pub_rec,8.803931530408926e-05,9.775878110904718e-05
interest_rate,4.545099265284014e-05,0.00020618486936294705
revol_util,-0.0003127931061435163,0.00033861189261086137
