loan_id,loan_amount,interest_rate,term_months,grade,purpose,annual_income,dti_ratio,home_ownership,employment_length,default
1935,5000.0,13.98,36,C,debt_consolidation,50000.0,31.11,MORTGAGE,7 years,1
7786,6000.0,5.32,36,A,debt_consolidation,89000.0,22.34,MORTGAGE,10+ years,1
7560,20000.0,7.69,36,A,debt_consolidation,130000.0,14.42,MORTGAGE,4 years,0
5872,3600.0,10.49,36,B,home_improvement,72000.0,17.85,MORTGAGE,4 years,0
6148,5000.0,9.75,36,B,major_purchase,51900.0,24.86,MORTGAGE,10+ years,0
3552,35000.0,18.25,36,D,debt_consolidation,143000.0,11.7,MORTGAGE,5 years,1
7652,5000.0,6.72,36,A,debt_consolidation,60000.0,16.52,OWN,4 years,0
771,18525.0,13.67,36,C,debt_consolidation,48000.0,29.38,MORTGAGE,Unknown,1
5701,2500.0,9.99,36,B,debt_consolidation,52000.0,12.97,RENT,8 years,0
4004,2050.0,16.29,36,D,credit_card,40000.0,30.27,MORTGAGE,Unknown,0
9612,7800.0,23.99,36,E,other,23000.0,17.43,OWN,10+ years,0
5003,21000.0,11.99,36,B,credit_card,300000.0,5.32,RENT,10+ years,0
4833,6000.0,11.49,36,B,renewable_energy,30160.0,16.59,MORTGAGE,6 years,0
4050,21000.0,17.27,60,D,major_purchase,115000.0,19.8,RENT,2 years,1
9584,33600.0,18.25,60,E,credit_card,404200.0,8.57,MORTGAGE,5 years,0
5649,8000.0,11.49,36,B,debt_consolidation,45000.0,6.59,OWN,Unknown,0
8168,7000.0,6.92,36,A,debt_consolidation,54000.0,25.88,MORTGAGE,3 years,0
417,10000.0,13.98,60,C,home_improvement,100600.0,30.86,MORTGAGE,Unknown,1
1560,22000.0,16.2,60,C,debt_consolidation,50000.0,21.12,MORTGAGE,10+ years,0
3882,2500.0,18.25,36,D,other,85000.0,30.88,MORTGAGE,10+ years,0
9173,11400.0,19.99,60,E,other,30000.0,6.0,RENT,8 years,0
1214,15000.0,13.98,36,C,debt_consolidation,45000.0,22.91,RENT,10+ years,0
9663,35000.0,18.25,60,E,debt_consolidation,125000.0,25.76,MORTGAGE,5 years,0
220,26000.0,13.44,36,C,credit_card,85000.0,28.14,MORTGAGE,3 years,1
1858,14300.0,13.18,36,C,vacation,48000.0,11.88,RENT,7 years,0
10547,10000.0,15.31,36,C,medical,72600.0,13.82,MORTGAGE,10+ years,0
8315,10000.0,6.24,36,A,credit_card,45000.0,10.72,RENT,1 year,0
3940,4300.0,16.59,36,D,debt_consolidation,35000.0,11.93,RENT,6 years,1
3966,35000.0,16.99,36,D,other,139224.0,20.26,MORTGAGE,8 years,0
8531,20000.0,6.62,36,A,credit_card,137700.0,7.9,MORTGAGE,10+ years,0
7060,6000.0,8.39,36,B,other,40000.0,30.78,RENT,10+ years,1
8683,5000.0,6.24,36,A,debt_consolidation,40000.0,14.19,MORTGAGE,3 years,0
1747,10000.0,12.74,36,C,debt_consolidation,48000.0,11.0,RENT,1 year,1
8421,12000.0,7.35,36,A,debt_consolidation,71000.0,29.18,MORTGAGE,< 1 year,0
4240,13325.0,16.55,60,D,debt_consolidation,29000.0,27.52,RENT,10+ years,0
3832,10000.0,19.03,36,D,debt_consolidation,40000.0,20.16,RENT,1 year,0
10792,7000.0,12.49,36,B,credit_card,45000.0,14.4,RENT,6 years,0
1611,35000.0,13.99,36,C,debt_consolidation,140000.0,15.47,MORTGAGE,10+ years,0
2027,9000.0,15.31,36,C,debt_consolidation,50000.0,20.36,RENT,1 year,0
2423,5600.0,12.29,36,C,credit_card,43000.0,7.47,RENT,4 years,0
3495,3700.0,16.99,36,D,other,33000.0,1.93,RENT,10+ years,0
6334,15000.0,11.53,36,B,credit_card,130000.0,26.74,MORTGAGE,3 years,1
9768,15200.0,25.69,36,F,debt_consolidation,40000.0,19.74,MORTGAGE,Unknown,0
483,35000.0,17.27,60,C,credit_card,120000.0,22.22,MORTGAGE,4 years,0
10147,9000.0,9.93,36,B,home_improvement,48000.0,4.25,MORTGAGE,10+ years,0
10660,12000.0,16.29,36,D,debt_consolidation,60000.0,16.72,MORTGAGE,1 year,0
2197,15000.0,13.11,36,C,debt_consolidation,43680.0,17.34,MORTGAGE,< 1 year,0
2693,30000.0,13.33,60,C,home_improvement,75000.0,12.48,MORTGAGE,6 years,0
4013,23100.0,17.99,36,D,debt_consolidation,52500.0,20.94,RENT,2 years,1
1338,5400.0,12.79,36,C,other,35000.0,13.65,RENT,3 years,0
9360,11800.0,19.52,36,E,credit_card,45000.0,33.31,RENT,3 years,0
4792,24000.0,10.99,36,B,credit_card,70000.0,18.81,MORTGAGE,10+ years,0
4764,14400.0,11.49,36,B,credit_card,80000.0,11.78,RENT,2 years,0
9751,25000.0,16.35,36,E,small_business,48360.0,10.52,RENT,1 year,1
4749,7000.0,10.15,36,B,credit_card,98000.0,5.85,RENT,10+ years,0
5830,6300.0,10.49,36,B,debt_consolidation,53000.0,28.89,RENT,2 years,0
10880,11200.0,22.91,36,E,credit_card,50000.0,30.27,RENT,7 years,0
1000,25000.0,13.49,36,C,debt_consolidation,135000.0,14.7,RENT,2 years,1
9947,25000.0,30.89,60,G,debt_consolidation,103000.0,25.93,OWN,2 years,0
9165,27125.0,19.99,60,E,debt_consolidation,61785.0,27.85,RENT,10+ years,1
10350,5000.0,8.18,36,B,credit_card,30000.0,14.72,RENT,4 years,0
6324,12000.0,9.17,36,B,home_improvement,80000.0,12.96,MORTGAGE,10+ years,0
10744,14175.0,9.16,36,B,credit_card,68700.0,18.53,MORTGAGE,5 years,0
7634,13000.0,6.08,36,A,debt_consolidation,109000.0,11.43,MORTGAGE,1 year,0
10065,16425.0,16.29,36,D,vacation,90000.0,33.93,MORTGAGE,9 years,0
3942,7450.0,18.99,36,D,debt_consolidation,53000.0,23.28,MORTGAGE,10+ years,0
7809,12000.0,5.32,36,A,debt_consolidation,125700.0,6.05,MORTGAGE,10+ years,0
5216,4800.0,12.12,36,B,other,47000.0,23.67,RENT,6 years,1
8401,5700.0,8.59,36,A,car,51000.0,15.45,OWN,< 1 year,0
75,8000.0,14.47,36,C,credit_card,39000.0,25.69,RENT,10+ years,0
5021,16000.0,10.49,36,B,debt_consolidation,60000.0,23.6,OWN,10+ years,0
3905,28000.0,18.06,36,D,debt_consolidation,84640.0,15.57,RENT,10+ years,0
10244,20000.0,9.17,36,B,debt_consolidation,46000.0,14.09,RENT,8 years,0
7687,14000.0,7.89,36,A,debt_consolidation,86850.0,10.21,MORTGAGE,10+ years,0
269,35000.0,15.61,60,C,debt_consolidation,85000.0,22.83,RENT,10+ years,0
6885,20000.0,9.17,36,B,home_improvement,102400.0,15.26,MORTGAGE,9 years,0
4916,8000.0,11.98,36,B,debt_consolidation,75000.0,12.09,RENT,< 1 year,0
9720,32000.0,26.3,60,E,debt_consolidation,45000.0,40.19,OWN,< 1 year,1
7819,18000.0,7.89,36,A,debt_consolidation,99000.0,8.64,RENT,6 years,0
