loan_amount,interest_rate,term_months,annual_income,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_util,mort_acc,sub_grade,purpose,home_ownership,employment_length,verification_status,default
35000,17.86,36,100000.0,18.33,0.0,4.0,11.0,0.0,29.4,2.0,D5,debt_consolidation,MORTGAGE,5 years,Verified,0
20000,19.99,36,60000.0,29.26,1.0,0.0,15.0,0.0,65.2,2.0,D5,debt_consolidation,OWN,2 years,Verified,0
14100,21.49,36,40000.0,26.04,0.0,2.0,12.0,0.0,39.8,0.0,D5,debt_consolidation,RENT,5 years,Source Verified,0
32400,19.99,60,70000.0,23.57,0.0,0.0,8.0,0.0,83.2,2.0,D5,debt_consolidation,MORTGAGE,< 1 year,Source Verified,1
17025,21.49,36,56000.0,18.67,1.0,0.0,15.0,0.0,42.0,0.0,D5,renewable_energy,RENT,9 years,Verified,0
16300,17.86,36,48000.0,24.15,0.0,0.0,9.0,0.0,59.5,3.0,D5,debt_consolidation,MORTGAGE,1 year,Source Verified,0
9000,21.45,36,26000.0,24.75,0.0,0.0,5.0,0.0,99.4,0.0,D5,debt_consolidation,RENT,< 1 year,Source Verified,0
7000,18.24,36,26000.0,31.35,0.0,1.0,18.0,0.0,68.7,0.0,D5,moving,OWN,1 year,Source Verified,0
1000,15.57,36,46800.0,17.05,0.0,1.0,10.0,1.0,99.6,0.0,D5,moving,RENT,Unknown,Verified,0
25000,18.24,60,65000.0,14.03,0.0,2.0,13.0,1.0,82.4,3.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
30000,21.45,36,110000.0,16.84,1.0,1.0,10.0,0.0,57.1,1.0,D5,debt_consolidation,MORTGAGE,1 year,Source Verified,0
3000,20.31,36,34000.0,21.46,0.0,2.0,15.0,0.0,88.6,0.0,D5,credit_card,RENT,10+ years,Not Verified,0
12000,19.47,60,73000.0,18.12,0.0,1.0,8.0,0.0,74.1,0.0,D5,debt_consolidation,MORTGAGE,3 years,Source Verified,0
